   0.00000000       2.00000000       2.00000000       5.00000000    
   9.99999978E-03   2.00000000       2.44000006       4.90666676    
   1.99999996E-02   2.04399991       2.87746668       4.82462215    
   2.99999993E-02   2.12734652       3.32239676       4.75478077    
   3.99999991E-02   2.24685144       3.78367925       4.69866562    
   4.99999970E-02   2.40053415       4.26938868       4.65838146    
   5.99999949E-02   2.58741951       4.78701830       4.63664627    
   6.99999928E-02   2.80737948       5.34365606       4.63686275    
   7.99999908E-02   3.06100702       5.94611120       4.66322994    
   8.99999887E-02   3.34951735       6.60099030       4.72088814    
   9.99999866E-02   3.67466450       7.31471825       4.81609917    
  0.109999985       4.03867006       8.09350204       4.95646095    
  0.119999982       4.44415331       8.94321918       5.15115833    
  0.129999980       4.89405966       9.86922455       5.41124439    
  0.139999986       5.39157629       10.8760395       5.74995041    
  0.149999991       5.94002247       11.9669075       6.18300819    
  0.159999996       6.54271078       13.1431723       6.72896481    
  0.170000002       7.20275688       14.4034424       7.40944529    
  0.180000007       7.92282534       15.7424955       8.24930477    
  0.190000013       8.70479202       17.1498833       9.27657413    
  0.200000018       9.54930115       18.6082191       10.5220604    
  0.210000023       10.4551926       20.0911579       12.0184269    
  0.220000029       11.4187889       21.5611496       13.7985048    
  0.230000034       12.4330254       22.9671764       15.8925667    
  0.240000039       13.4864407       24.2428246       18.3242798    
  0.250000030       14.5620794       25.3053074       21.1051254    
  0.260000020       15.6364021       26.0562916       24.2273006    
  0.270000011       16.6783905       26.3856430       27.6555061    
  0.280000001       17.6491165       26.1792431       31.3187256    
  0.289999992       18.5021286       25.3317242       35.1039658    
  0.299999982       19.1850891       23.7640228       38.8547668    
  0.309999973       19.6429825       21.4438858       42.3777885    
  0.319999963       19.8230724       18.4052200       45.4599342    
  0.329999954       19.6812878       14.7600727       47.8961487    
  0.339999944       19.1891670       10.6966534       49.5238914    
  0.349999934       18.3399162       6.45943165       50.2558517    
  0.359999925       17.1518669       2.31313276       50.1003494    
  0.369999915       15.6679935      -1.50062108       49.1610870    
  0.379999906       13.9511318      -4.80113268       47.6150093    
  0.389999896       12.0759058      -7.48963690       45.6754646    
  0.399999887       10.1193514      -9.54921341       43.5530090    
  0.409999877       8.15249538      -11.0275850       41.4252777    
  0.419999868       6.23448753      -12.0118046       39.4215813    
  0.429999858       4.40985823      -12.6037636       37.6214638    
  0.439999849       2.70849609      -12.9020185       36.0624161    
  0.449999839       1.14744461      -12.9913683       34.7513008    
  0.459999830     -0.266436577      -12.9389219       33.6755295    
  0.469999820      -1.53368509      -12.7944107       32.8119888    
  0.479999810      -2.65975761      -12.5926657       32.1332283    
  0.489999801      -3.65304852      -12.3568048       31.6112766    
  0.499999791      -4.52342415      -12.1013155       31.2197094    
  0.509999812      -5.28121328      -11.8346615       30.9345779    
  0.519999802      -5.93655825      -11.5613337       30.7346687    
  0.529999793      -6.49903584      -11.2833748       30.6014233    
  0.539999783      -6.97746992      -11.0014734       30.5186958    
  0.549999774      -7.37987041      -10.7157173       30.4724884    
  0.559999764      -7.71345520      -10.4260941       30.4506950    
  0.569999754      -7.98471928      -10.1328001       30.4428883    
  0.579999745      -8.19952774      -9.83641434       30.4401531    
  0.589999735      -8.36321640      -9.53796959       30.4349556    
  0.599999726      -8.48069191      -9.23894882       30.4210377    
  0.609999716      -8.55651760      -8.94123840       30.3933372    
  0.619999707      -8.59498978      -8.64703941       30.3479061    
  0.629999697      -8.60019493      -8.35876656       30.2818413    
  0.639999688      -8.57605171      -8.07893562       30.1931953    
  0.649999678      -8.52634048      -7.81005669       30.0808964    
  0.659999669      -8.45471191      -7.55453205       29.9446507    
  0.669999659      -8.36469364      -7.31457233       29.7848396    
  0.679999650      -8.25968170      -7.09213018       29.6024189    
  0.689999640      -8.14292622      -6.88885403       29.3988075    
  0.699999630      -8.01751900      -6.70606184       29.1757927    
  0.709999621      -7.88637352      -6.54473162       28.9354305    
  0.719999611      -7.75220919      -6.40551281       28.6799603    
  0.729999602      -7.61753941      -6.28874588       28.4117298    
  0.739999592      -7.48466015      -6.19449472       28.1331310    
  0.749999583      -7.35564375      -6.12258530       27.8465519    
  0.759999573      -7.23233795      -6.07264662       27.5543327    
  0.769999564      -7.11636877      -6.04415226       27.2587452    
  0.779999554      -7.00914717      -6.03646135       26.9619694    
  0.789999545      -6.91187859      -6.04885387       26.6660881    
  0.799999535      -6.82557631      -6.08056355       26.3730812    
  0.809999526      -6.75107479      -6.13080454       26.0848331    
  0.819999516      -6.68904781      -6.19879103       25.8031330    
  0.829999506      -6.64002228      -6.28375244       25.5296898    
  0.839999497      -6.60439539      -6.38494396       25.2661400    
  0.849999487      -6.58245039      -6.50164938       25.0140629    
  0.859999478      -6.57437038      -6.63318062       24.7749882    
  0.869999468      -6.58025122      -6.77887297       24.5504112    
  0.879999459      -6.60011339      -6.93807602       24.3418007    
  0.889999449      -6.63390970      -7.11014032       24.1506062    
  0.899999440      -6.68153286      -7.29440403       23.9782696    
  0.909999430      -6.74281979      -7.49017334       23.8262272    
  0.919999421      -6.81755495      -7.69670153       23.6959095    
  0.929999411      -6.90546942      -7.91316843       23.5887451    
  0.939999402      -7.00623941      -8.13865471       23.5061531    
  0.949999392      -7.11948109      -8.37211800       23.4495354    
  0.959999382      -7.24474478      -8.61236668       23.4202652    
  0.969999373      -7.38150692      -8.85803318       23.4196682    
  0.979999363      -7.52915955      -9.10755062       23.4489994    
  0.989999354      -7.68699884      -9.35912704       23.5094147    
  0.999999344      -7.85421181      -9.61072731       23.6019325    
